"","gnd_id","author","title","date","link"
"6577","http://d-nb.info/gnd/11852710X","Arthur Conan Doyle","Sherlock Holmes - D…",2013,"https://kolimo.uni-goettingen.de/text.html?id=gb9585"
"6594","http://d-nb.info/gnd/11852710X","Arthur Conan Doyle","Sherlock Holmes - D…",2013,"https://kolimo.uni-goettingen.de/text.html?id=gb9571"
"25336","http://d-nb.info/gnd/118717286","Edward Gibbon","Verfall und Unterga…",2013,"https://kolimo.uni-goettingen.de/text.html?id=gb14225"
"64105","http://d-nb.info/gnd/118624822","Mark Twain","Short Stories",2013,"https://kolimo.uni-goettingen.de/text.html?id=gb20319"
"25335","http://d-nb.info/gnd/118717286","Edward Gibbon","Verfall und Unterga…",2012,"https://kolimo.uni-goettingen.de/text.html?id=gb14222"
"25337","http://d-nb.info/gnd/118717286","Edward Gibbon","Verfall und Unterga…",2012,"https://kolimo.uni-goettingen.de/text.html?id=gb14224"
"25338","http://d-nb.info/gnd/118717286","Edward Gibbon","Verfall und Unterga…",2012,"https://kolimo.uni-goettingen.de/text.html?id=gb14223"
"64230","http://d-nb.info/gnd/118621483","William Makepeace T…","Jahrmarkt der Eitel…",2012,"https://kolimo.uni-goettingen.de/text.html?id=gb7793"
"64231","http://d-nb.info/gnd/118621483","William Makepeace T…","Jahrmarkt der Eitel…",2012,"https://kolimo.uni-goettingen.de/text.html?id=gb7795"
"8395","http://d-nb.info/gnd/118505173","Jane Austen","Edgar und Emma",2011,"https://kolimo.uni-goettingen.de/text.html?id=gb6356"
"8396","http://d-nb.info/gnd/118505173","Jane Austen","Die schöne Cassandra",2011,"https://kolimo.uni-goettingen.de/text.html?id=gb6355"
"9234","http://d-nb.info/gnd/118561960","Alexander Kielland","Hellgrün ist die Ho…",2011,"https://kolimo.uni-goettingen.de/text.html?id=gb5232"
"18866","http://d-nb.info/gnd/118809709","Herman Bang","Reportagen zu wechs…",2010,"https://kolimo.uni-goettingen.de/text.html?id=gb6146"
"18868","http://d-nb.info/gnd/118809709","Herman Bang","Reportagen zu wechs…",2010,"https://kolimo.uni-goettingen.de/text.html?id=gb6143"
"18869","http://d-nb.info/gnd/118809709","Herman Bang","Reportagen zu wechs…",2010,"https://kolimo.uni-goettingen.de/text.html?id=gb6152"
"18870","http://d-nb.info/gnd/118809709","Herman Bang","Reportagen zu wechs…",2010,"https://kolimo.uni-goettingen.de/text.html?id=gb6149"
"18874","http://d-nb.info/gnd/118809709","Herman Bang","Novellen und Skizze…",2010,"https://kolimo.uni-goettingen.de/text.html?id=gb6148"
"18875","http://d-nb.info/gnd/118809709","Herman Bang","Reportagen zu wechs…",2010,"https://kolimo.uni-goettingen.de/text.html?id=gb6145"
"23198","http://d-nb.info/gnd/133985113","Johannes Dose","Der Muttersohn – Ba…",2010,"https://kolimo.uni-goettingen.de/text.html?id=gb6371"
"23199","http://d-nb.info/gnd/133985113","Johannes Dose","Der Muttersohn – Ba…",2010,"https://kolimo.uni-goettingen.de/text.html?id=gb6375"
"6576","http://d-nb.info/gnd/11852710X","Arthur Conan Doyle","Die fünf Orangenker…",2009,"https://kolimo.uni-goettingen.de/text.html?id=gb9574"
"6599","http://d-nb.info/gnd/11852710X","Arthur Conan Doyle","Das leere Haus",2009,"https://kolimo.uni-goettingen.de/text.html?id=gb9573"
"6591","http://d-nb.info/gnd/11852710X","Arthur Conan Doyle","Das Diadem aus Bery…",2007,"https://kolimo.uni-goettingen.de/text.html?id=gb9579"
"18872","http://d-nb.info/gnd/118809709","Herman Bang","Zehn Jahre – Erinne…",2007,"https://kolimo.uni-goettingen.de/text.html?id=gb6147"
"17880","http://d-nb.info/gnd/119481006","Jeanne-Marie Leprin…","La Belle et la bête",2006,"https://kolimo.uni-goettingen.de/text.html?id=gb1558"
"64111","http://d-nb.info/gnd/118624822","Mark Twain","Eine Pferdegeschich…",2005,"https://kolimo.uni-goettingen.de/text.html?id=gb20332"
