"","author","title","first_pub"
"1","BürgerGottfriedAu…","WunderbareReisenz…",1786
"2","BürgerGottfriedAu…","Gedichte",1778
"3","LenzJakobMichael…","AnmerkungenübersT…",1774
"4","JakobMichaelReinh…","DerHofmeister",1774
"5","JakobMichaelReinh…","DerWaldbruderein…",1776
"6","JakobMichaelReinh…","DieSoldaten",1776
"7","JakobMichaelReinh…","DerEngländer",1776
"8","JakobMichaelReinh…","Zerbinoderdieneu…",1776
"9","JakobMichaelReinh…","DerLandprediger",1777
"10","HeinrichLeopoldWa…","DieKindermörderin",1776
"11","KlingerFriedrichM…","FaustsLebenThate…",1791
"12","FriedrichMaximilia…","DieZwillinge",1776
"13","FriedrichMaximilia…","SturmundDrang",1776
"14","AntonLeisewitz","DiePfandung",1775
"15","JohannAntonLeisew…","Konradin",1776
"16","JohannAntonLeisew…","RedeeinesGelehrte…",1776
"17","JohannAntonLeisew…","AlexanderundHephä…",1776
"18","JohannAntonLeisew…","Selbstgesprächeine…",1776
"19","JohannAntonLeisew…","JuliusvonTarent",1776
"20","FriedrichSchiller","DieRäuber",1781
"21","SchillerFriedrich","KabaleundLiebe",1784
"22","Stolberg-StolbergC…","Gedichte",1779
"23","HerderJohannGottf…","KritischeWälder",1769
"24","HerderJohannGottf…","VonDeutscherArtu…",1773
"25","Hamann","KreuzzügedesPhilologen",1762
"26","Gerstenberg","GedichteinesSkalden",1766
"27","Gerstenberg","BriefeüberMerkwürdigkeitenderLiteratur",1770
"28","Gerstenberg","Ugolino",1768
"29","Herder","KritischeWälder",1769
"30","Herder","VondeutscherArtundKunst",1773
"31","Klinger","DasleidendeWeib",1775
"32","Jacobi","AusEduardAllwillsPapieren",1776
"33","Klinger","SimsoneGrisaldo",1776
"34","Müller","GoloundGenovefa",1776
"35","Müller","FaustsLebendramatisiert",1778
"36","Herder","IdeenzurPhilosophiederGeschichtederMenschheit",1791
"37","Hamann","SokratischeDenkwurdigkeiten",1759
"38","Herder","JournalMeinerReise",1769
"39","Herder","AbhandlungüberdenUrsprungderSprache",1772
"40","Herder","StimmenderVolkerinLiedern",1779
"41","Schubart","Gedichte",1787
"42","Moritz","AntonReiser",1787
"43","Heinse","Ardinghello",1787
"44","WielandChristophM…","Oberon",1780
"45","ChristophMartinWi…","Dschinnistan",1786
"46","ChristophMartinWi…","PeregrinusProteus",1791
"47","ChristophMartinWi…","Göttergespräche",1791
"48","ChristophMartinWi…","Agathodämon",1799
"49","ChristophMartinWi…","Aristipp",1801
"50","HerderJohannGottf…","BriefezuBeförderu…",1797
"51","HerderJohannGottf…","Plastik",1778
"52","HerderJohannGottf…","Abhandlungüberden…",1772
"53","SchillerFriedrich","Übernaiveundsent…",1796
"54","SchillerFriedrich","DomKarlos",1787
"55","SchillerFriedrich","MariaStuart",1801
"56","FriedrichSchiller","DieJungfrauvonOr…",1801
"57","FriedrichSchiller","DieBrautvonMessi…",1803
"58","FriedrichSchiller","WilhelmTell",1804
"59","SchillerFriedrich","Geschichtedesdrey…",1792
"60","SchillerFriedrich","DerGeisterseher",1789
"61","SchillerFriedrich","Washeißtundzuwe…",1789
"62","KleistHeinrichvon","DieSchlachtbeiFe…",1822
